iter	Passed	Remaining
0	1	168
1	3	148
2	4	136
3	5	120
4	6	117
5	7	114
6	8	111
7	9	110
8	10	110
9	12	110
10	13	108
11	14	108
12	16	108
13	17	108
14	18	107
15	20	105
16	21	103
17	22	101
18	23	99
19	24	97
20	25	95
21	26	94
22	27	91
23	27	88
24	28	85
25	28	82
26	32	86
27	33	85
28	34	84
29	35	83
30	36	82
31	38	80
32	38	78
33	39	76
34	40	74
35	40	72
36	41	70
37	42	68
38	42	66
39	43	65
40	47	68
41	47	65
42	48	64
43	49	62
44	50	61
45	50	59
46	51	57
47	51	56
48	52	54
49	53	53
50	53	51
51	54	50
52	54	48
53	55	47
54	55	45
55	56	44
56	56	42
57	57	41
58	58	40
59	58	39
60	61	39
61	62	38
62	63	37
63	64	36
64	64	34
65	65	33
66	65	32
67	66	31
68	67	30
69	67	28
70	68	27
71	68	26
72	69	25
73	70	24
74	70	23
75	71	22
76	71	21
77	72	20
78	73	19
79	73	18
80	77	18
81	78	17
82	78	16
83	79	15
84	80	14
85	80	13
86	81	12
87	81	11
88	82	10
89	83	9
90	83	8
91	84	7
92	84	6
93	85	5
94	85	4
95	86	3
96	87	2
97	87	1
98	88	0
99	90	0
