iter	Passed	Remaining
0	146	145886
1	146	73268
2	147	49024
3	152	37886
4	153	30637
5	154	25662
6	155	22071
7	156	19387
8	157	17294
9	157	15612
10	158	14234
11	158	13089
12	159	12116
13	160	11293
14	162	10682
15	164	10143
16	166	9612
17	167	9132
18	168	8703
19	169	8293
20	169	7919
21	170	7583
22	171	7273
23	171	6990
24	172	6728
25	173	6488
26	173	6265
27	174	6055
28	176	5896
29	177	5747
30	179	5603
31	180	5459
32	181	5313
33	181	5170
34	182	5037
35	183	4909
36	183	4787
37	184	4671
38	185	4561
39	185	4457
40	186	4358
41	187	4267
42	187	4178
43	191	4156
44	192	4089
45	194	4023
46	195	3958
47	195	3885
48	196	3815
49	197	3747
50	197	3682
51	198	3622
52	199	3564
53	200	3505
54	200	3448
55	201	3393
56	201	3340
57	204	3315
58	205	3279
59	207	3248
60	208	3207
61	209	3163
62	210	3124
63	210	3081
64	211	3040
65	212	3001
66	212	2962
67	213	2925
68	214	2888
69	214	2852
70	215	2817
71	215	2783
72	216	2750
73	219	2741
74	220	2718
75	221	2691
76	222	2663
77	222	2635
78	223	2606
79	224	2578
80	224	2550
81	225	2522
82	225	2493
83	226	2469
84	227	2445
85	227	2420
86	228	2395
87	228	2371
88	229	2348
89	230	2325
90	230	2303
91	231	2287
92	233	2279
93	235	2265
94	237	2262
95	238	2243
96	238	2223
97	239	2204
98	240	2185
99	240	2166
100	241	2148
101	242	2131
102	242	2113
103	243	2096
104	243	2079
105	244	2061
106	245	2045
107	245	2029
108	247	2022
109	248	2010
110	249	2000
111	250	1987
112	251	1974
113	252	1959
114	252	1944
115	253	1931
116	254	1917
117	254	1903
118	255	1889
119	255	1875
120	256	1862
121	256	1848
122	257	1835
123	257	1822
124	258	1810
125	259	1797
126	259	1784
127	260	1778
128	261	1768
129	262	1757
130	263	1747
131	264	1737
132	264	1726
133	265	1715
134	266	1705
135	266	1695
136	305	1925
137	306	1916
138	308	1908
139	309	1903
140	311	1896
141	312	1885
142	313	1878
143	314	1869
144	315	1861
145	316	1853
146	318	1845
147	319	1837
148	320	1829
149	321	1821
150	322	1813
151	324	1810
152	325	1804
153	327	1797
154	328	1790
155	329	1783
156	330	1775
157	331	1768
158	334	1771
159	335	1762
160	336	1752
161	337	1744
162	339	1743
163	341	1738
164	355	1801
165	357	1793
166	357	1785
167	358	1777
168	359	1769
169	360	1760
170	361	1752
171	362	1743
172	362	1735
173	363	1726
174	364	1717
175	365	1709
176	365	1701
177	366	1693
178	367	1685
179	368	1677
180	369	1672
181	370	1665
182	371	1658
183	372	1651
184	373	1644
185	374	1637
186	374	1630
187	375	1623
188	376	1616
189	377	1610
190	378	1604
191	379	1597
192	380	1590
193	380	1582
194	381	1575
195	382	1568
196	383	1562
197	384	1558
198	385	1552
199	386	1546
200	387	1540
